,id,level,rok,gdp_ppp_mean,gdp_ppp_lower,gdp_ppp_upper,gdp_usd_mean,gdp_usd_lower,gdp_usd_upper
3265,43,Country,2040,14616.6449517569,11435.3957913133,18612.7015282687,5361.17950102337,4325.79116991537,6722.00325438582
3266,43,Country,2041,14819.2110286526,11516.5099817195,18960.3359447106,5435.47148777785,4311.79219273857,6854.6974095979
3267,43,Country,2042,15023.0094544652,11547.3548059588,19623.8336160792,5510.1979822767,4317.52699075678,7044.49342365456
3268,43,Country,2043,15229.41136524,11566.1182030928,20065.3972756481,5585.91805882616,4333.07860822802,7184.71360518103
3269,43,Country,2044,15463.6023051738,11517.4197892701,20489.0081716216,5671.87001600486,4341.29923063704,7351.95206192148
3270,43,Country,2045,15675.4891025479,11616.7712469966,20826.6010624868,5749.5747179075,4332.00281805429,7530.92141556173
3271,43,Country,2046,15891.4748268556,11681.6711131174,21242.2486683548,5828.77006565422,4357.79687623954,7681.72618809046
3272,43,Country,2047,16093.8353995792,11706.7028009866,21681.4497542206,5902.93599744959,4359.58627924752,7873.21570816753
3273,43,Country,2048,16272.7215320626,11742.6154843579,22207.0501488988,5968.54999549322,4344.89062617421,8027.83362389547
3274,43,Country,2049,16445.3340107308,11739.520985956,22608.661952055,6031.84634119447,4333.69053506223,8138.37449532274
3275,43,Country,2050,16597.3233560393,11702.9096133007,22896.6505598598,6087.61744731406,4349.89000750922,8322.93743715739
3276,44,Country,1960,1789.67160042522,588.409612043635,3972.53929494995,529.254661009845,374.337165850361,766.235126103383
3277,44,Country,1961,1820.40423015674,596.001226264303,4041.70781798775,537.358909431728,379.796556884962,776.502067862464
3278,44,Country,1962,1787.3989430924,551.002328820714,4029.41803931589,527.642455433108,374.129137471736,768.893470086278
3279,44,Country,1963,1962.32056965782,621.83363907787,4413.13473305334,575.85308886614,413.227093224772,829.935570649721
3280,44,Country,1964,2129.76130115269,684.073111577654,4792.41074172396,621.652372870749,454.045947259008,887.053691055015
3281,44,Country,1965,2186.11026051489,702.039805799323,4969.49806599733,636.593202640859,465.085730906242,908.833717461868
3282,44,Country,1966,2321.77784498252,756.604788946814,5285.81023991018,673.254625687554,491.14112999053,958.610918116516
3283,44,Country,1967,2273.09073989799,725.035642922297,5302.94980187846,659.264197162382,477.170741718764,947.346540124023
3284,44,Country,1968,2343.20925648477,727.938387615685,5520.83745190528,677.826429091223,489.189525128931,969.860301656679
3285,44,Country,1969,2501.6787951525,791.697575961704,5938.64698908455,720.386245791322,522.049425541703,1025.83194420397
3286,44,Country,1970,2567.95178754647,811.693398688786,6106.24895274367,737.690151689913,536.250807309257,1046.76195409363
3287,44,Country,1971,2700.87799335979,881.432108118114,6397.31414992723,772.96719799768,562.092286814918,1093.56788195582
3288,44,Country,1972,2795.61760105566,935.850127443989,6577.68058139336,797.773130657093,579.995185520804,1127.21864455437
3289,44,Country,1973,2872.97082007048,924.89844432737,6821.70777236115,817.798478886684,595.763428819033,1160.00385217534
3290,44,Country,1974,3044.4826103086,1036.76900571709,7220.49001108775,862.974992925688,627.202541596775,1219.53926762071
3291,44,Country,1975,3118.60336962319,1056.42354363177,7464.13489018792,881.91804505062,639.852419936482,1244.91957844796
3292,44,Country,1976,3129.98505213599,1056.74261127905,7570.61950925588,884.067007021274,641.45015928054,1248.09263587738
3293,44,Country,1977,3337.66509705217,1165.91662430788,7977.73589763449,938.39473179101,690.399419863701,1313.56708930766
3294,44,Country,1978,3517.70783243684,1251.96575375746,8433.36695552853,985.093703269145,729.500151937074,1372.10462249573
3295,44,Country,1979,3734.50376806489,1344.23198085501,8864.31137515642,1041.21744236646,779.980248515641,1442.11695166018
